P,V,Hd,Co,d,LT,shape,measuring,ra,other,3d-printer,D50,D90,PSD,DOI
370,1300,180,60,100,30,Prism-0,CP,6.31,"Standard parameters for the main machining of AlSi10Mg from EOS, used in the first pass without remelting",EOSINT M290,-,-,-,https://doi.org/10.3390/met14060711
270,1100,180,60,100,30,Prism-0,CP,4.13,"Upkin remelting (low VED), LED = 1.08 J/mm, VED = 45.45 J/mm",EOSINT M290,-,-,-,https://doi.org/10.3390/met14060711
300,800,180,60,100,30,Prism-0,CP,3.61,"Upkin remelting (medium VED), LED = 0.37 J/mm, VED = 69.44 J/mm",EOSINT M290,-,-,-,https://doi.org/10.3390/met14060711
360,600,180,60,100,30,Prism-0,CP,1.49,"Upkin remelting (high VED), LED = 0.60 J/mm, VED = 111.11 J/mm",EOSINT M290,-,-,-,https://doi.org/10.3390/met14060711
370,1300,180,60,100,30,Prism-45,CP,19.94,"Standard parameters for the main machining of AlSi10Mg from EOS, used in the first pass without remelting",EOSINT M290,-,-,-,https://doi.org/10.3390/met14060711
300,800,180,60,100,30,Prism-45,CP,11.8,"Upkin remelting (low VED), LED = 1.08 J/mm, VED = 45.45 J/mm",EOSINT M290,-,-,-,https://doi.org/10.3390/met14060711
360,600,180,60,100,30,Prism-45,CP,5.19,"Upkin remelting (medium VED), LED = 0.37 J/mm, VED = 69.44 J/mm",EOSINT M290,-,-,-,https://doi.org/10.3390/met14060711
270,250,180,60,100,30,Prism-45,CP,4.81,"Upkin remelting (high VED), LED = 0.60 J/mm, VED = 111.11 J/mm",EOSINT M290,-,-,-,https://doi.org/10.3390/met14060711
370,1300,180,60,100,30,Prism-90,CP,20.2,"Standard parameters for the main machining of AlSi10Mg from EOS, used in the first pass without remelting",EOSINT M290,-,-,-,https://doi.org/10.3390/met14060711
300,800,180,60,100,30,Prism-90,CP,15.71,"Upkin remelting (low VED), LED = 1.08 J/mm, VED = 45.45 J/mm",EOSINT M290,-,-,-,https://doi.org/10.3390/met14060711
